number,ortho,mean
504,aybeharp,-1.593081877
3639,odoutip,-1.591499292
2840,kyoko,-1.590922954
30,acoamou,-1.589669493
2273,gygenard,-1.589602506
1329,doyengy,-1.588483414
479,aviacua,-1.588314457
5505,unnypar,-1.586812498
4364,psot,-1.583752109
4655,sammqua,-1.583066347
3378,nariusok,-1.583041169
1437,ebbyriar,-1.58291439
2531,irleb,-1.58271157
5945,wooshivow,-1.58243685
4951,soyaneap,-1.582284958
3546,nurchilf,-1.582153634
5894,wetd,-1.582149786
1380,dusprt,-1.581832908
5172,theterg,-1.58170458
3097,lybalk,-1.581235703
3612,ockya,-1.581189079
5453,uito,-1.580705371
5673,vekapoil,-1.580666404
2458,iggimseam,-1.579593544
6099,zoukrook,-1.578460833
4367,pstoid,-1.577602955
2068,garslowch,-1.577269541
2410,iblib,-1.576598657
4648,saicoi,-1.576058992
1646,erfleb,-1.575765511
155,amaj,-1.574386059
4027,ousnou,-1.574289334
5454,ulayr,-1.574054461
4770,sherquidi,-1.573862002
5372,trydayc,-1.572170708
4840,sirdarv,-1.571770604
5437,uddillbirth,-1.571704115
2663,jinrithy,-1.571315842
2558,itbips,-1.570808227
771,buckpk,-1.568595255
2550,isinnfirth,-1.566858885
4344,prajoll,-1.565182164
1615,erarou,-1.564464933
4899,sobbishik,-1.562482039
4072,owspas,-1.562254556
5589,uskir,-1.56199794
1451,ecklurp,-1.56095426
262,archargellth,-1.560605109
5534,uraumav,-1.560447253
2794,kiosthet,-1.560276503
544,azumcarf,-1.559996235
4340,ppeddimmer,-1.559344977
1401,eachevag,-1.55838538
2565,itfervan,-1.556908615
1559,emomtong,-1.556290954
2421,icenzi,-1.556029422
1687,erminvo,-1.555944679
4411,pybth,-1.555643309
5799,voyajiff,-1.555597122
2686,jongui,-1.555476846
467,authetsu,-1.553291168
4866,slooknif,-1.551432614
4925,sonkyfir,-1.55027483
5475,umphebbal,-1.548695298
6083,zodowd,-1.547717032
55,adjutajar,-1.546858063
3942,osgea,-1.546610896
2448,ieuness,-1.546490344
6013,yjager,-1.544280059
3481,nolataw,-1.543375103
3560,nythi,-1.543371365
6092,zookapu,-1.543291829
4753,shecnioc,-1.54325971
2071,gassortu,-1.54241597
2646,jejerud,-1.54169145
5507,unsibob,-1.541631502
4028,ousorga,-1.541274196
3474,nointma,-1.540510457
5420,uavy,-1.540496604
1645,erfav,-1.539045942
1661,ergepeash,-1.53888901
5413,tyleari,-1.538549041
2975,lobbyb,-1.538313325
360,ashdcen,-1.537677456
531,ayrivvy,-1.537442935
4506,ressultu,-1.536722076
5687,verej,-1.53649141
2697,joreadorb,-1.535038845
2731,junjudd,-1.534230937
2167,goiterpoi,-1.534019333
3712,oistugger,-1.533436583
1633,erchll,-1.53341363
1091,coussp,-1.532954272
3902,orphiahau,-1.532867011
5834,waguuds,-1.531596577
1712,erturloi,-1.531189397
4079,ozim,-1.53026157
2508,insolsh,-1.527893424
4062,owerjers,-1.52767749
3927,orvsky,-1.527096601
2422,ichfoo,-1.527085218
1783,evommu,-1.525909978
1009,chwania,-1.525140015
3786,oozitio,-1.521765897
2968,lliardosea,-1.521757504
5305,todlylch,-1.521041675
1957,foottoj,-1.521000004
2425,icingataw,-1.519113582
5057,swersoa,-1.518726602
2264,gvoused,-1.518664911
3699,ointrois,-1.518456308
1724,eseg,-1.51819305
509,ayfavun,-1.517591056
3111,madjad,-1.517544675
2525,irkarouch,-1.516632256
1378,duskaol,-1.516178364
116,aliphyly,-1.515522188
3273,mopolu,-1.512278351
1484,eeneread,-1.512048273
4492,rearquir,-1.510415527
5895,wetodg,-1.50961411
3755,omnagyll,-1.509482999
565,baobamph,-1.509312551
6003,yerocio,-1.508792983
1760,etlowtow,-1.507120565
3440,niavarzia,-1.50665042
5989,ycasual,-1.506167153
2573,itodual,-1.506034282
3588,obseashi,-1.505272299
1612,equawb,-1.504748306
5301,tizerteach,-1.50413815
5645,varodpo,-1.503696072
3204,migwang,-1.503450089
1676,erknif,-1.503357158
1587,epaju,-1.503266439
1272,djacer,-1.5032546
1498,egavulch,-1.503201875
448,auphiazzy,-1.501041292
5455,ulel,-1.499264069
4644,saffeoso,-1.499186013
3459,nnual,-1.498458637
4715,sfats,-1.498417836
2251,gurdiluor,-1.497467347
5477,umsinook,-1.496929133
5619,vaccuuch,-1.496381759
232,appeapuo,-1.49595615
4967,sphebalky,-1.494599372
810,cakyil,-1.494520082
2429,icpoten,-1.494197706
2594,jabinvoy,-1.49415562
4004,oundiat,-1.493984262
1449,ecichu,-1.49333788
5091,tballar,-1.492822002
5955,worpubirch,-1.492486628
3508,nosingri,-1.492480254
5617,uumagoo,-1.492223848
2870,langsyp,-1.491743746
435,aufaleach,-1.490973619
4722,shadusua,-1.490911237
5426,ucedout,-1.489979581
2489,inenoi,-1.488622201
412,atmagong,-1.488059793
3103,lyprn,-1.486390113
3851,ordnt,-1.486336699
5394,tutleok,-1.485178314
2831,kukrib,-1.484725307
1019,cifeach,-1.484236444
73,adysthes,-1.482970003
3086,lurkidyd,-1.482242935
5489,undryc,-1.481611563
2763,keguf,-1.481232453
5904,wifoodouch,-1.481212717
1799,eyanu,-1.479767665
5479,uncauti,-1.479736742
231,apoosclo,-1.479442195
4818,shrumbnak,-1.479228513
3564,obargelk,-1.478081766
5593,ussevo,-1.478029857
1594,ephesab,-1.477056233
4817,shruinoin,-1.476988009
5068,talv,-1.475771445
2647,jejuta,-1.474184475
5257,thwackips,-1.47410131
2145,glol,-1.473722162
1539,elulauk,-1.472987902
3817,orbeapoil,-1.471761137
4226,phonterchp,-1.471705798
3628,odeckyo,-1.471600581
211,aortarring,-1.470959069
5465,umci,-1.469779872
1605,eptiouspaw,-1.468397188
1730,espoi,-1.467518074
2643,jecridea,-1.466691786
1723,esauc,-1.466505435
4410,pworudd,-1.466070777
2593,jabif,-1.46587447
1478,edtomuial,-1.464661572
2592,jabidik,-1.463709868
1978,founjo,-1.46367462
808,caiquriot,-1.463658664
6021,yofder,-1.463646774
1928,flyv,-1.46300957
5088,tavoci,-1.462779571
1899,firlua,-1.462637305
3730,ollajo,-1.462465173
3552,nusizoa,-1.46212712
3683,oinctuo,-1.460214108
532,ayrocknm,-1.460187894
2455,iftip,-1.457783095
3435,niagong,-1.455402713
2545,ishinga,-1.455060059
4281,podgemou,-1.455046491
2494,ingrepang,-1.454686253
4762,shequ,-1.454533616
1140,curgtfat,-1.454218792
978,chubjuk,-1.45412716
811,callioeoc,-1.453729445
2190,goolydudg,-1.453595761
5833,wagoogaun,-1.453344845
2894,lawayf,-1.453186681
5650,varyloi,-1.451747487
1415,easoclerg,-1.45031403
3684,oinctuum,-1.450041485
4630,rushcmooth,-1.449136777
1520,eleorog,-1.447211276
3322,mudodg,-1.446290965
3189,metiu,-1.446073413
3566,obbingua,-1.445328413
425,aucheddish,-1.444212181
118,alkeu,-1.444123044
529,ayranip,-1.443963278
5525,uptiarout,-1.443241673
2019,fulual,-1.442724216
1390,dwisong,-1.442412702
964,chinaln,-1.441860018
3996,ouffersabbe,-1.440444502
3961,osubi,-1.440216409
177,anauchef,-1.439855652
2542,isasu,-1.439618465
1243,derihurl,-1.439587165
203,anoemps,-1.4390018
6031,yrizer,-1.438207967
4073,owspia,-1.436331473
4268,plosges,-1.435515471
3914,ortdav,-1.435428944
5557,urgaduum,-1.434604477
2582,ivorterbir,-1.434108104
1650,erfufter,-1.433970439
3836,orcipmun,-1.433904105
4716,sfiler,-1.432843379
1616,erarpsm,-1.432508997
1208,datiesul,-1.432383916
5607,utolltot,-1.432115009
3211,mimellth,-1.43162559
5114,terjudd,-1.430907648
5635,vapadher,-1.429999054
153,altiosp,-1.429518637
4235,pianeffem,-1.428659575
6032,ysium,-1.428547185
3964,otashalloy,-1.427802813
3141,marmav,-1.427662544
1427,eaturoit,-1.427583264
3527,nukrophi,-1.425659046
5792,voutib,-1.424727399
4217,phiamou,-1.424539771
2540,iroveoso,-1.424309898
3558,nymoo,-1.424181506
4530,rigoddt,-1.423992375
3804,opsenoi,-1.42385669
3124,malmmrayer,-1.422733381
5310,toidacloy,-1.421413417
5753,voistoi,-1.421308594
4773,shesolv,-1.421135
2006,fuggimshaw,-1.420817008
5919,wodazook,-1.420773781
2960,llagroil,-1.42006009
506,aydayd,-1.419304003
3499,norkswoo,-1.418960728
3790,opavun,-1.418882223
5510,uotiemium,-1.418226629
3941,osge,-1.417313838
6045,zamahau,-1.416504606
1885,fichevout,-1.416438867
4172,perkevog,-1.415478264
3824,orbirchll,-1.414561418
4534,rishl,-1.413477527
24,acherpoi,-1.413233738
5541,urbassasaw,-1.413140827
1674,erjum,-1.41304766
5576,urturaw,-1.411462975
5419,uavidor,-1.411424914
68,aduku,-1.410963972
4462,raraffik,-1.41005227
1027,cirlelloph,-1.409617722
3557,nyenza,-1.409606556
2955,livulk,-1.408870049
1493,eforwanow,-1.408505667
5427,ucksan,-1.408455828
5882,werachu,-1.408072181
2631,jaunejoin,-1.407994232
2621,jangsyc,-1.407693854
1103,coyotov,-1.406524846
2931,lianissng,-1.405605813
3492,nooplef,-1.405426994
3489,nookaos,-1.404868236
1481,eduptosh,-1.404576698
5943,woosheroyer,-1.404216977
4067,owlov,-1.403776712
3782,ootsa,-1.402947695
2845,kypy,-1.402790077
326,arslytea,-1.402173217
2115,giaciph,-1.400996563
442,aundab,-1.400893644
4322,poucialk,-1.400455931
2736,jussivno,-1.399758237
2518,iquedd,-1.399410734
4005,oundio,-1.398874372
5851,waqisma,-1.398603631
1024,ciousoup,-1.398433432
1363,dtower,-1.397824109
3158,meagoug,-1.39743482
2935,liarytur,-1.395979404
4342,pplaureat,-1.395958202
3529,nukrowl,-1.395592944
4482,razibs,-1.39552021
56,admachu,-1.395412109
5549,urchelouch,-1.394549827
5818,vunkshaw,-1.39396456
3372,narearoil,-1.391942195
1326,doyencoff,-1.391873016
3702,oirkich,-1.391868784
5721,vinoi,-1.391777123
356,arydulch,-1.391591638
