number,ortho,mean
504,aybeharp,-159
3639,odoutip,-159
2840,kyoko,-159
30,acoamou,-159
2273,gygenard,-159
1329,doyengy,-159
479,aviacua,-159
5505,unnypar,-159
4364,psot,-158
4655,sammqua,-158
3378,nariusok,-158
1437,ebbyriar,-158
2531,irleb,-158
5945,wooshivow,-158
4951,soyaneap,-158
3546,nurchilf,-158
5894,wetd,-158
1380,dusprt,-158
5172,theterg,-158
3097,lybalk,-158
3612,ockya,-158
5453,uito,-158
5673,vekapoil,-158
2458,iggimseam,-158
6099,zoukrook,-158
4367,pstoid,-158
2068,garslowch,-158
2410,iblib,-158
4648,saicoi,-158
1646,erfleb,-158
155,amaj,-157
4027,ousnou,-157
5454,ulayr,-157
4770,sherquidi,-157
5372,trydayc,-157
4840,sirdarv,-157
5437,uddillbirth,-157
2663,jinrithy,-157
2558,itbips,-157
771,buckpk,-157
2550,isinnfirth,-157
4344,prajoll,-157
1615,erarou,-156
4899,sobbishik,-156
4072,owspas,-156
5589,uskir,-156
1451,ecklurp,-156
262,archargellth,-156
5534,uraumav,-156
2794,kiosthet,-156
544,azumcarf,-156
4340,ppeddimmer,-156
1401,eachevag,-156
2565,itfervan,-156
1559,emomtong,-156
2421,icenzi,-156
1687,erminvo,-156
4411,pybth,-156
5799,voyajiff,-156
2686,jongui,-156
467,authetsu,-155
4866,slooknif,-155
4925,sonkyfir,-155
5475,umphebbal,-155
6083,zodowd,-155
55,adjutajar,-155
3942,osgea,-155
2448,ieuness,-155
6013,yjager,-154
3481,nolataw,-154
3560,nythi,-154
6092,zookapu,-154
4753,shecnioc,-154
2071,gassortu,-154
2646,jejerud,-154
5507,unsibob,-154
4028,ousorga,-154
3474,nointma,-154
5420,uavy,-154
1645,erfav,-154
1661,ergepeash,-154
5413,tyleari,-154
2975,lobbyb,-154
360,ashdcen,-154
531,ayrivvy,-154
4506,ressultu,-154
5687,verej,-154
2697,joreadorb,-154
2731,junjudd,-153
2167,goiterpoi,-153
3712,oistugger,-153
1633,erchll,-153
1091,coussp,-153
3902,orphiahau,-153
5834,waguuds,-153
1712,erturloi,-153
4079,ozim,-153
2508,insolsh,-153
4062,owerjers,-153
3927,orvsky,-153
2422,ichfoo,-153
1783,evommu,-153
1009,chwania,-153
3786,oozitio,-152
2968,lliardosea,-152
5305,todlylch,-152
1957,foottoj,-152
2425,icingataw,-152
5057,swersoa,-152
2264,gvoused,-152
3699,ointrois,-152
1724,eseg,-152
509,ayfavun,-152
3111,madjad,-152
2525,irkarouch,-152
1378,duskaol,-152
116,aliphyly,-152
3273,mopolu,-151
1484,eeneread,-151
4492,rearquir,-151
5895,wetodg,-151
3755,omnagyll,-151
565,baobamph,-151
6003,yerocio,-151
1760,etlowtow,-151
3440,niavarzia,-151
5989,ycasual,-151
2573,itodual,-151
3588,obseashi,-151
1612,equawb,-150
5301,tizerteach,-150
5645,varodpo,-150
3204,migwang,-150
1676,erknif,-150
1587,epaju,-150
1272,djacer,-150
1498,egavulch,-150
448,auphiazzy,-150
5455,ulel,-150
4644,saffeoso,-150
3459,nnual,-150
4715,sfats,-150
2251,gurdiluor,-150
5477,umsinook,-150
5619,vaccuuch,-150
232,appeapuo,-150
4967,sphebalky,-149
810,cakyil,-149
2429,icpoten,-149
2594,jabinvoy,-149
4004,oundiat,-149
1449,ecichu,-149
5091,tballar,-149
5955,worpubirch,-149
3508,nosingri,-149
5617,uumagoo,-149
2870,langsyp,-149
435,aufaleach,-149
4722,shadusua,-149
5426,ucedout,-149
2489,inenoi,-149
412,atmagong,-149
3103,lyprn,-149
3851,ordnt,-149
5394,tutleok,-149
2831,kukrib,-148
1019,cifeach,-148
73,adysthes,-148
3086,lurkidyd,-148
5489,undryc,-148
2763,keguf,-148
5904,wifoodouch,-148
1799,eyanu,-148
5479,uncauti,-148
231,apoosclo,-148
4818,shrumbnak,-148
3564,obargelk,-148
5593,ussevo,-148
1594,ephesab,-148
4817,shruinoin,-148
5068,talv,-148
2647,jejuta,-147
5257,thwackips,-147
2145,glol,-147
1539,elulauk,-147
3817,orbeapoil,-147
4226,phonterchp,-147
3628,odeckyo,-147
211,aortarring,-147
5465,umci,-147
1605,eptiouspaw,-147
1730,espoi,-147
2643,jecridea,-147
1723,esauc,-147
4410,pworudd,-147
2593,jabif,-147
1478,edtomuial,-146
2592,jabidik,-146
1978,founjo,-146
808,caiquriot,-146
6021,yofder,-146
1928,flyv,-146
5088,tavoci,-146
1899,firlua,-146
3730,ollajo,-146
3552,nusizoa,-146
3683,oinctuo,-146
532,ayrocknm,-146
2455,iftip,-146
3435,niagong,-146
2545,ishinga,-146
4281,podgemou,-146
2494,ingrepang,-145
4762,shequ,-145
1140,curgtfat,-145
978,chubjuk,-145
811,callioeoc,-145
2190,goolydudg,-145
5833,wagoogaun,-145
2894,lawayf,-145
5650,varyloi,-145
1415,easoclerg,-145
3684,oinctuum,-145
4630,rushcmooth,-145
1520,eleorog,-145
3322,mudodg,-145
3189,metiu,-145
3566,obbingua,-145
425,aucheddish,-144
118,alkeu,-144
529,ayranip,-144
5525,uptiarout,-144
2019,fulual,-144
1390,dwisong,-144
964,chinaln,-144
3996,ouffersabbe,-144
3961,osubi,-144
177,anauchef,-144
2542,isasu,-144
1243,derihurl,-144
203,anoemps,-144
6031,yrizer,-144
4073,owspia,-144
4268,plosges,-144
3914,ortdav,-144
5557,urgaduum,-143
2582,ivorterbir,-143
1650,erfufter,-143
3836,orcipmun,-143
4716,sfiler,-143
1616,erarpsm,-143
1208,datiesul,-143
5607,utolltot,-143
3211,mimellth,-143
5114,terjudd,-143
5635,vapadher,-143
153,altiosp,-143
4235,pianeffem,-143
6032,ysium,-143
3964,otashalloy,-143
3141,marmav,-143
1427,eaturoit,-143
3527,nukrophi,-143
5792,voutib,-142
4217,phiamou,-142
2540,iroveoso,-142
3558,nymoo,-142
4530,rigoddt,-142
3804,opsenoi,-142
3124,malmmrayer,-142
5310,toidacloy,-142
5753,voistoi,-142
4773,shesolv,-142
2006,fuggimshaw,-142
5919,wodazook,-142
2960,llagroil,-142
506,aydayd,-142
3499,norkswoo,-142
3790,opavun,-142
5510,uotiemium,-142
3941,osge,-142
6045,zamahau,-142
1885,fichevout,-142
